Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3170138,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2014,,,,,,,82.4 [82.4-82.4],82.36885018,82.36595692,82.4361815,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3170642,WHOSIS_000001,COUNTRY,CPV,YEAR,AFR,Africa,SEX,SEX_BTSX,2009,,,,,,,74.0 [73.4-74.6],73.98241137,73.36788748,74.59383622,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3170831,WHOSIS_000001,REGION,EUR,YEAR,,,SEX,SEX_FMLE,2009,,,,,,,78.9 [78.9-79.1],78.9360624,78.85736147,79.09595009,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3171117,WHOSIS_000001,COUNTRY,OMN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,76.8 [76.5-77.2],76.79727366,76.52998576,77.18411715,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
3171884,WHOSIS_000001,COUNTRY,GRD,YEAR,AMR,Americas,SEX,SEX_BTSX,2021,,,,,,,72.8 [72.0-73.5],72.77322454,72.03559491,73.54352814,,2024-08-02T09:43:39.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3172600,WHOSIS_000001,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2019,,,,,,,75.8 [75.5-76.2],75.83098235,75.51946396,76.23125523,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3172679,WHOSIS_000001,COUNTRY,ISR,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,83.8 [83.8-83.9],83.78561922,83.77274181,83.86342547,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
3172728,WHOSIS_000001,REGION,EMR,YEAR,,,SEX,SEX_FMLE,2008,,,,,,,69.1 [68.6-69.7],69.13811928,68.58681908,69.65603403,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
3172850,WHOSIS_000001,COUNTRY,DEU,YEAR,EUR,Europe,SEX,SEX_BTSX,2009,,,,,,,80.0 [79.9-80.1],79.99437865,79.93232441,80.0564329,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3173142,WHOSIS_000001,COUNTRY,TKM,YEAR,EUR,Europe,SEX,SEX_BTSX,2008,,,,,,,67.0 [66.6-67.4],66.98536912,66.60592524,67.42895624,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
