SpatialDimType,SpatialDim,Dim1,TimeDim,NumericValue
COUNTRY,TON,Both,2018,72.84423109
COUNTRY,NPL,Both,2004,67.69735163
COUNTRY,UGA,Male,2007,54.57554976
COUNTRY,GRD,Female,2004,76.3203877
COUNTRY,CMR,Both,2020,62.18085382
COUNTRY,ALB,Female,2021,78.6123883
COUNTRY,FIN,Female,2008,82.77258948
COUNTRY,ITA,Both,2007,81.17657713
COUNTRY,SUR,Female,2006,74.71163302
COUNTRY,BRA,Both,2017,74.98912241
COUNTRY,MNE,Female,2004,75.99274585
REGION,AFR,Female,2011,61.95111871
COUNTRY,KEN,Female,2021,69.21556653
COUNTRY,USA,Female,2002,79.22013651
COUNTRY,CAF,Female,2003,46.45213209
COUNTRY,PER,Female,2002,77.50051986
COUNTRY,LSO,Both,2007,43.88764108
COUNTRY,PRI,Male,2007,74.61645476
COUNTRY,TJK,Both,2004,67.99767342
COUNTRY,BWA,Both,2012,59.74879487
COUNTRY,TON,Female,2000,74.3442858
COUNTRY,SWZ,Male,2000,44.74100408
COUNTRY,DZA,Male,2021,75.50643476
COUNTRY,TJK,Male,2019,72.28292306
COUNTRY,LUX,Male,2001,75.61101434
COUNTRY,NPL,Male,2008,67.57890602
COUNTRY,GNQ,Both,2019,61.38714512
COUNTRY,ISL,Male,2015,80.65455941
COUNTRY,AZE,Male,2014,70.73992058
COUNTRY,ARM,Both,2014,74.19757704
COUNTRY,GHA,Both,2000,59.08500401
COUNTRY,KEN,Female,2017,68.14162501
COUNTRY,ISL,Female,2012,83.50025421
COUNTRY,HRV,Female,2010,79.94159596
COUNTRY,MLI,Male,2004,55.924649
COUNTRY,BEL,Both,2007,79.56569667
COUNTRY,CAN,Both,2005,79.95094625
COUNTRY,COG,Male,2009,60.21005694
COUNTRY,SWZ,Male,2012,46.34137626
COUNTRY,LCA,Female,2011,79.87138351
WORLDBANKINCOMEGROUP,WB_LI,Both,2009,60.19604573
COUNTRY,BHR,Male,2009,72.6005146
COUNTRY,ARM,Male,2019,70.81724463
COUNTRY,TZA,Both,2007,59.37881257
COUNTRY,COD,Male,2002,51.51813589
COUNTRY,KWT,Female,2019,86.43459677
COUNTRY,OMN,Both,2000,71.65888476
COUNTRY,VNM,Male,2018,69.33953152
COUNTRY,ESP,Male,2020,79.31605523
COUNTRY,ISR,Male,2007,78.12708813
COUNTRY,GEO,Female,2007,76.98028001
COUNTRY,GBR,Female,2017,82.61752949
COUNTRY,POL,Female,2004,78.99341553
COUNTRY,YEM,Male,2007,65.0414065
COUNTRY,DZA,Female,2014,76.45753672
COUNTRY,HTI,Both,2017,63.2460029
COUNTRY,SLV,Both,2011,74.57443118
COUNTRY,MEX,Female,2009,77.74372449
COUNTRY,POL,Both,2005,74.89551806
COUNTRY,NPL,Both,2000,65.36598722
COUNTRY,JOR,Female,2015,78.98944897
COUNTRY,SLV,Female,2004,77.48854245
COUNTRY,LBR,Female,2011,61.22657286
COUNTRY,JPN,Both,2004,82.37003875
COUNTRY,AFG,Female,2021,60.98603789
COUNTRY,SUR,Male,2017,70.28839556
COUNTRY,GIN,Female,2003,56.4503619
COUNTRY,TUR,Female,2009,79.18101035
COUNTRY,NAM,Both,2001,52.37399446
COUNTRY,MDA,Male,2016,67.79445083
COUNTRY,CHE,Male,2014,80.83708046
COUNTRY,ARM,Male,2006,68.1692308
COUNTRY,SWZ,Male,2006,41.76351198
COUNTRY,MNE,Both,2011,75.9899009
COUNTRY,VEN,Male,2002,70.93835387
WORLDBANKINCOMEGROUP,WB_LMI,Male,2020,66.96124544
COUNTRY,CAN,Male,2001,76.79837892
COUNTRY,LKA,Male,2009,68.41648374
COUNTRY,NOR,Male,2004,77.41113675
COUNTRY,SLB,Female,2001,66.17908262
COUNTRY,AFG,Male,2007,56.72813412
COUNTRY,ERI,Male,2006,55.70413493
COUNTRY,PAK,Both,2000,61.40857442
COUNTRY,VCT,Female,2003,74.79788759
COUNTRY,SSD,Female,2005,57.48751863
COUNTRY,GTM,Female,2008,74.38490344
COUNTRY,BEL,Both,2001,77.97358091
COUNTRY,BLZ,Male,2010,71.13482832
COUNTRY,PSE,Male,2002,64.58966518
COUNTRY,NPL,Both,2017,70.84484004
COUNTRY,ETH,Both,2008,61.00289968
COUNTRY,ITA,Male,2003,77.01593442
COUNTRY,LBY,Male,2011,69.03550614
COUNTRY,PRY,Female,2012,77.87211565
COUNTRY,ECU,Female,2002,76.59089487
COUNTRY,FIN,Female,2021,84.0616354
COUNTRY,HRV,Female,2013,80.96193598
COUNTRY,SYR,Both,2008,73.54815311
COUNTRY,EST,Both,2017,78.2161445
COUNTRY,GIN,Female,2013,60.41432794
COUNTRY,UKR,Female,2004,73.30846324
COUNTRY,RWA,Female,2010,65.97068802
COUNTRY,THA,Both,2013,76.54383011
COUNTRY,ERI,Male,2013,58.78086299
COUNTRY,MEX,Female,2004,77.37053362
COUNTRY,RWA,Both,2020,68.26351399
COUNTRY,CPV,Both,2015,74.82831017
COUNTRY,MOZ,Male,2008,50.8365405
COUNTRY,COL,Male,2005,71.26889749
COUNTRY,SOM,Both,2019,55.21397342
COUNTRY,COG,Male,2002,53.655839
COUNTRY,LBN,Female,2019,81.46533373
WORLDBANKINCOMEGROUP,WB_LI,Both,2010,60.71751447
COUNTRY,LVA,Male,2011,68.54908283
COUNTRY,GRC,Male,2004,76.83921496
COUNTRY,SSD,Female,2014,61.31241349
COUNTRY,MDG,Male,2003,58.64679946
COUNTRY,BRB,Female,2020,78.59215056
COUNTRY,TKM,Male,2003,61.95411897
COUNTRY,BRN,Both,2009,76.87788068
WORLDBANKINCOMEGROUP,WB_LMI,Male,2010,64.55813537
COUNTRY,BOL,Both,2009,70.13714581
COUNTRY,DNK,Both,2014,80.51401409
WORLDBANKINCOMEGROUP,WB_HI,Female,2013,82.81692328
COUNTRY,CAN,Female,2005,82.14647395
COUNTRY,URY,Both,2003,74.80937399
COUNTRY,PAN,Male,2013,74.77955205
COUNTRY,ZWE,Female,2013,58.34312734
COUNTRY,BRB,Both,2001,75.05768919
